ТИП,ВОПРОС,ОТВЕТ,КОНТЕКСТ
простой,Как пополнить бюджет со счета мобильного телефона?,"К сожалению, пополнить бюджет рекламного кабинета со счета мобильного телефона в настоящее время нельзя. Вы можете ознакомиться с другими доступными способами оплаты.","К сожалению, пополнить бюджет рекламного кабинета со счета мобильного телефона в настоящее время нельзя. Вы можете ознакомиться с другими доступными способами оплаты."
простой,Почему мое рекламное обьявление отклонили?,"Ваше обьявление нарушало Правила. Чтобы запустить рекламу, вам необходимо устранить нарушения: отредактировать объявление или предоставить необходимые документы, которые мы запрашиваем в соответствии с Правилами. ","Прежде, чем рекламное объявление будет опубликовано ВКонтакте, оно проверяется на предмет соответствия законодательству и [vk.com/ads?act=office_help&terms|Правилам размещения рекламных объявлений]. Модераторы проверяют изображение, текст, настройки вашего объявления, а также все материалы рекламируемого сайта или сообщества. Ознакомьтесь [vk.com/faq20895|с требованиям к рекламе ВКонтакте].Если одно из ваших объявлений было отклонено, это значит что его показы остановлены. Узнайте [vk.com/faq20698|причину, по которой объявление было отклонено], внесите изменения, а затем отправьте его на [vk.com/faq20700|повторную проверку]."
простой,Как я могу получить закрывающие документы?,"Закрывающие документы для юридических лиц предоставляются на сумму фактических трат, совершенных в отчетном месяце (с первого по последний день календарного месяца). Это актуально только для лиц, совершавших оплату путём банковского перевода. Проверить траты рекламного кабинета можно в разделе «Экспорт статистики», выбрав детализацию за необходимый месяц.Документы предоставляются только через систему электронного документооборота Диадок или СБИС в течение 10 рабочих дней после окончания отчетного месяца. В случае, если ваша организация использует другого оператора ЭДО, можно настроить(для этого напишите запрос на почту: adv@corp.vk.com).Для перехода на электронный обмен документами нужно: Иметь действующий сертификат электронной подписи, используемый для сдачи отчетности в контролирующие органы через интернет, или быть подключенными к системе Диадок. При отсутствии сертификата вам необходимо его получить, для этого обратитесь по бесплатному номеру 8 800 500 10 18 (или оставьте заявку на сайте: http://www.diadoc.ru/order). Регистрация в системе Диадок, получение и обработка входящих документов осуществляются бесплатно. Войти в систему Диадок с рабочего места, на котором установлена программа электронной отчетности или система Диадок, по ссылке: http://www.diadoc.ru/invite Принять запрос на добавление в контрагенты от ООО ""В Контакте"".Сканированные копии документов высылаются по электронной почте (e-mail, указанный в реквизитах рекламного кабинета) плановыми рассылками в течение 10 рабочих дней после окончания отчетного месяца.Если вы представляете юридическое лицо-нерезидента Российской Федерации, а также в случае проблем с получением закрывающих документов напишите запрос на электронный адрес: adv@corp.vk.com","Закрывающие документы для юридических лиц (УПД - Универсальный передаточный документ в отношении Услуг за Отчетный месяц по форме, предусмотренной Письмом ФНС России от 21.10.2013 N ММВ-20-3/96@) предоставляются на сумму фактических трат, совершенных в отчетном месяце (с первого по последний день календарного месяца). Это актуально только для лиц, совершавших оплату путём банковского перевода. Проверить траты рекламного кабинета можно в разделе «Экспорт статистики», выбрав детализацию за необходимый месяц.Документы предоставляются только через систему электронного документооборота Диадок или СБИС в течение 10 рабочих дней после окончания отчетного месяца. В случае, если ваша организация использует другого оператора ЭДО, можно настроить [https://www.diadoc.ru/roaming/working-with|роуминг] (для этого напишите запрос на почту: adv@corp.vk.com).Для перехода на электронный обмен документами нужно: Иметь действующий сертификат электронной подписи, используемый для сдачи отчетности в контролирующие органы через интернет, или быть подключенными к системе Диадок. При отсутствии сертификата вам необходимо его получить, для этого обратитесь по бесплатному номеру 8 800 500 10 18 (или оставьте заявку на сайте: http://www.diadoc.ru/order). Регистрация в системе Диадок, получение и обработка входящих документов осуществляются бесплатно. Войти в систему Диадок с рабочего места, на котором установлена программа электронной отчетности или система Диадок, по ссылке: http://www.diadoc.ru/invite Принять запрос на добавление в контрагенты от ООО ""В Контакте"".Сканированные копии документов высылаются по электронной почте (e-mail, указанный в реквизитах рекламного кабинета) плановыми рассылками в течение 10 рабочих дней после окончания отчетного месяца.Если вы представляете юридическое лицо-нерезидента Российской Федерации, а также в случае проблем с получением закрывающих документов напишите запрос на электронный адрес: adv@corp.vk.com"
простой,Как мне добавить свою музыку в клип?,"Чтобы добавить к клипу музыку, воспользуйтесь каталогами треков из соответствующего раздела. В них уже есть много треков, со временем их количество будет увеличиваться. К сожалению, не все композиции получится использовать в клипах. Решение о доступности треков тех или иных исполнителей принимают правообладатели — лейблы и другие дистрибьюторы лицензионного контента, поступающего на нашу площадку. Условия при этом таковы, что музыка может быть представлена только в рамках отдельного каталога и с особыми условиями размещения, поэтому в разделах создания историй и клипов нет доступа к вашим трекам. Однако музыкальные каталоги этих разделов стремительно пополняются, всё больше правообладателей проявляют к ним интерес. Если вы музыкант и хотите добавить в каталоги свой трек, обратитесь к своему лейблу или агрегатору. Если вы ещё не лицензируете своё творчество, примите участие в [https://vk.com/@vkmusic-musicians-platform|программе поддержки молодых музыкантов]. Советуем также изучить [https://vk.com/@vkclips-copyrights-description|статью] о соблюдении авторских и смежных прав.","Чтобы добавить к клипу музыку, воспользуйтесь каталогами треков из соответствующего раздела. В них уже есть много треков, со временем их количество будет увеличиваться. К сожалению, не все композиции получится использовать в клипах. Решение о доступности треков тех или иных исполнителей принимают правообладатели — лейблы и другие дистрибьюторы лицензионного контента, поступающего на нашу площадку. Условия при этом таковы, что музыка может быть представлена только в рамках отдельного каталога и с особыми условиями размещения, поэтому в разделах создания историй и клипов нет доступа к вашим трекам. Однако музыкальные каталоги этих разделов стремительно пополняются, всё больше правообладателей проявляют к ним интерес. Если вы музыкант и хотите добавить в каталоги свой трек, обратитесь к своему лейблу или агрегатору. Если вы ещё не лицензируете своё творчество, примите участие в [https://vk.com/@vkmusic-musicians-platform|программе поддержки молодых музыкантов]. Советуем также изучить [https://vk.com/@vkclips-copyrights-description|статью] о соблюдении авторских и смежных прав."
простой,Сколько стоит подписка на VK музыку?,Стоимость подписки на 30 дней — 159 рублей.,Стоимость подписки на 30 дней — 159 рублей.
условный,"Можно ли оформить подписку для студентов, если нет зачетной книжки?","Если ваш ВУЗ не использует зачётные книжки, вы можете отправить скриншот или фотографию её электронной версии с сайта. Не забудьте, пожалуйста, что там должны быть указаны ваши ФИО.Если зачётную книжку вы получаете только на время сессии, то обратитесь, пожалуйста, в учебное заведение, чтобы сделать её снимок. К сожалению, подтвердить статус без этого документа не получится.","Вас могут попросить прикрепить дополнительную фотографию разворота зачётной книжки. Это обязательный документ для подтверждения статуса студента.Если ваш ВУЗ не использует зачётные книжки, вы можете отправить скриншот или фотографию её электронной версии с сайта. Не забудьте, пожалуйста, что там должны быть указаны ваши ФИО.Если зачётную книжку вы получаете только на время сессии, то обратитесь, пожалуйста, в учебное заведение, чтобы сделать её снимок. К сожалению, подтвердить статус без этого документа не получится.Если у вас возникли сложности с анкетой, напишите в Поддержку, прикрепив фото документа в развернутом виде и селфи с ним."
простой,Что такое VK Чекбэк?," Это сервис ВКонтакте, который помогает получать кешбэк, стикеры и другие подарки за покупки в магазинах. Здесь находятся скидочные купоны и карты лояльности магазинов. ","[https://vk.com/checkback|VK Чекбэк] — это сервис ВКонтакте, который помогает получать кешбэк, стикеры и другие подарки за покупки в магазинах. Здесь находятся скидочные купоны и карты лояльности магазинов. Чтобы получить кешбэк, сканируйте QR-коды с чеков.О новых акциях и последних новостях мы рассказываем в сообществе [https://vk.com/vkcheckback|VK Чекбэк]. Подписывайтесь, чтобы ничего не пропустить."
простой,Как удалить диалог в приложении «VK Знакомства»?,"Чтобы удалить диалог, откройте его, нажмите на восклицательный знак справа вверху и выберите Удалить симпатию.","Чтобы удалить диалог, откройте его, нажмите на восклицательный знак справа вверху и выберите Удалить симпатию."
простой,Как мне запретить просматирвать историю пользователю?,"Ограничить доступ к просмотру историй вы можете внастройках приватности → В разделе Истории выберите подходящую настройку напротив пункта: Кто может видеть мои истории. В этом же разделе вы можете выбрать, кто сможет отвечать на ваши истории.",
условный,"Что делать, если не получается сменить имя и фамилию на настоящие?","Если система не даёт вам установить настоящие имя и фамилию, прикрепите к обращению в Поддержку фотографию документа, подтверждающего ваши данные, — мы укажем их вручную. Это может быть паспорт, водительские права, свидетельство о рождении (для детей до 14 лет), заграничный паспорт или другой документ.Серия и номер документа не требуются: их можно прикрыть листом бумаги или закрасить в графическом редакторе.","Ограничить доступ к просмотру историй вы можете в [https://vk.com/settings?act=privacy|настройках приватности] → В разделе Истории выберите подходящую настройку напротив пункта Кто может видеть мои истории. В этом же разделе вы можете выбрать, кто сможет отвечать на ваши истории."
простой,Почему у меня не получается загрузить клип?,"Публикация клипов доступна в компьютерной версии платформы, а также в мобильных приложениях ВКонтакте и VK Клипы. Загрузить клип с планшета не получится.В случае проблем с добавлением клипа, попробуйте выполнить эти шаги:1. Проверьте качество загружаемого клипа.Иногда клипы в качестве 4К могут загружаться, но зачастую возникают ошибки. Попробуйте загрузить ролик в качестве 1080p.2. Обновите приложение до последней версии в Google Play или App Store. 3. Очистите кеш в приложениях: VK Клипы: перейдите в Профиль справа внизу → нажмите на шестерёнку в правом верхнем углу → Приложение → Кеш.ВКонтакте: откройте вкладку Сервисы → три полоски в правом верхнем углу → Настройки → Приложение → Очистить кеш. Если неполадка возникает в приложении ВКонтакте, может помочь публикация клипа через VK Клипы. Скачайте приложение и попробуйте загрузить клип в нём. Если клип не отображается в сообществе, включите раздел «Видео»: Управление → Разделы → Видео → установите значение Открытые или Ограниченные и сохраните изменения. Затем повторите загрузку ролика. Прежде чем загрузить клип в рекламное объявление, добавьте его в свои видеозаписи.Если проблема не исчезнет, напишите в Поддержку.","Публикация клипов доступна в компьютерной версии платформы, а также в мобильных приложениях ВКонтакте и VK Клипы. Загрузить клип с планшета не получится.В случае проблем с добавлением клипа, попробуйте выполнить эти шаги:1. Проверьте качество загружаемого клипа.Иногда клипы в качестве 4К могут загружаться, но зачастую возникают ошибки. Попробуйте загрузить ролик в качестве 1080p.2. Обновите приложение до последней версии в Google Play или App Store. 3. Очистите кеш в приложениях:<u>VK Клипы:</u> перейдите в Профиль справа внизу → нажмите на шестерёнку в правом верхнем углу → Приложение → Кеш.<u>ВКонтакте:</u> откройте вкладку Сервисы → три полоски в правом верхнем углу → Настройки → Приложение → Очистить кеш. Если неполадка возникает в приложении ВКонтакте, может помочь публикация клипа через [https://vkclips.app|VK Клипы]. Скачайте приложение и попробуйте загрузить клип в нём. Если клип не отображается в сообществе, включите раздел «Видео»: Управление → Разделы → Видео → установите значение Открытые или Ограниченные и сохраните изменения. Затем повторите загрузку ролика. Прежде чем загрузить клип в рекламное объявление, добавьте его в свои видеозаписи.Если проблема не исчезнет, напишите в Поддержку."
простой,Как отключить уведомления с упоминанием в чате?,"Вы можете отключить уведомления из конкретного чата в компьютерной версии платформы. Для этого зайдите в чат, нажмите на его название → Оповещение об упоминаниях → выберите Кроме @all и @online.","Вы можете отключить уведомления из конкретного чата в компьютерной версии платформы. Для этого зайдите в чат, нажмите на его название → Оповещение об упоминаниях → выберите Кроме @all и @online."
простой,Как долго резервный код актуален?,"Список резервных кодов меняется после каждого сброса пароля. Важно: резервные коды обновятся, если вы просмотрите их несколько раз. Если сохранить себе список и не заходить в этот раздел, то коды обновляться не будут.","Список резервных кодов меняется после каждого сброса пароля. Важно: резервные коды обновятся, если вы просмотрите их несколько раз. Если сохранить себе список и не заходить в этот раздел, то коды обновляться не будут."
простой,почему стоит подключить 2fa?,"По данным ВКонтакте, подавляющее большинство взломов случается на аккаунтах с одним фактором защиты — паролем. Это подтверждает, что двухфакторная аутентификация — эффективная мера безопасности профиля. Если в аккаунте включено подтверждение входа, то для авторизации необходимо указать логин, пароль, а также код доступа (это может быть SMS, код из приложения для генерации кодов, push-уведомление на смартфон или звонок-сброс). Даже зная ваши данные для входа, злоумышленник не сможет зайти в профиль без доступа к вашему устройству. Подробнее об этом можно почитать в статье.Включить 2FA можно в разделе Безопасность и вход. Перед подключением защиты убедитесь, что к аккаунту привязан доступный номер телефона и email. Ещё очень важно, чтобы в профиле было указано настоящее имя и фамилия, а также размещены фотографии, по которым можно узнать владельца. При соблюдении всех пунктов двухфакторная аутентификация станет надёжным щитом, оберегающим аккаунт от посторонних.","По данным ВКонтакте, подавляющее большинство взломов случается на аккаунтах с одним фактором защиты — паролем. Это подтверждает, что двухфакторная аутентификация — эффективная мера безопасности профиля. Если в аккаунте включено подтверждение входа, то для авторизации необходимо указать логин, пароль, а также код доступа (это может быть SMS, код из приложения для генерации кодов, push-уведомление на смартфон или звонок-сброс). Даже зная ваши данные для входа, злоумышленник не сможет зайти в профиль без доступа к вашему устройству. Подробнее об этом можно почитать в [https://vk.com/@security-dvuhfaktornaya-autentifikaciya-2fa|статье].Включить 2FA можно в разделе [https://id.vk.ru/account/#/otp-settings|Безопасность и вход]. Перед подключением защиты убедитесь, что к аккаунту привязан доступный номер телефона и email. Ещё очень важно, чтобы в профиле было указано настоящее имя и фамилия, а также размещены фотографии, по которым можно узнать владельца. При соблюдении всех пунктов двухфакторная аутентификация станет надёжным щитом, оберегающим аккаунт от посторонних."
простой,Что такое VKUI?,"VKUI — это открытая библиотека адаптивных React-компонентов. С её помощью вы можете создавать веб-приложения и мини-приложения, интерфейс которых будет выглядеть в стиле ВКонтакте.","VKUI — это открытая библиотека адаптивных React-компонентов. С её помощью вы можете создавать веб-приложения и мини-приложения, интерфейс которых будет выглядеть в стиле ВКонтакте.Полная документация о библиотеке находится по [https://vkcom.github.io/VKUI/|ссылке]."
