Ссылка на статью;Заголовок статьи;Текст статьи
vk.com/faq21522;Создание рекламного объявления;Таргетированная реклама ВКонтактеТаргетированная реклама ВКонтакте поможет эффективно продвинуть ваш бренд, привлечь новых клиентов и увеличить продажи. Узнайте об особенностях рекламной системы ВКонтакте. {faq11832|faq11832}{faq11833|faq11833}Форматы рекламыПрежде чем начать размещать рекламу, узнайте об основных рекламных форматах и о том, как вашу рекламу увидят пользователи ВКонтакте.{faq11835|faq11835}{faq12104|faq12104}Сколько стоит рекламаРеклама ВКонтакте оплачивается за показы или клики. Это значит, что вы платите не за время, которое объявление показывается, а только за контакты с людьми.{faq11836|faq11836}Создание рекламного объявленияЧтобы начать размещение рекламы ВКонтакте, вам не нужно регистрировать отдельный аккаунт: вы можете начать работу с объявлениями со своей страницы. Создать свое первое рекламное объявление можно прямо сейчас: vk.com/adscreate.[[video-19542789_456239049|600x338pxplayer| ]]{faq12090|faq12090}Чтобы рекламное объявление привлекало клиентов, оно должно быть правильно настроено. Узнайте о том, как это сделать.{faq11842|faq11842}{faq11843|faq11843}{faq11837|faq11837}{faq19359|faq19359}{faq12057|faq12057}{faq12067|faq12067}{faq11932|faq11932}{faq11841|faq11841}Полезная информацияВ этом разделе мы собрали полезную и необходимую информацию для тех рекламодателей, кто впервые запускает рекламу ВКонтакте. {faq11845|faq11845}{faq11846|faq11846}{faq12055|faq12055}{faq11847|faq11847}{faq11839|faq11839}
vk.com/faq21179;Косметологические услуги;Для согласования рекламного объявления косметологических услуг отправьте в [vk.com/support?act=new_ads&id=10047|Поддержку] номер лицензии на осуществление медицинской деятельности. В соответствии с приказом Минздравсоцразвития России №1664н от 27.12.2011 г. услуги по косметологии, удалению татуировок, пилингу, массажу, криомассажу, эпиляции были отнесены к медицинским услугам. Для оказания данных услуг необходимо иметь медицинскую лицензию. <br/>Если помимо косметологических услуг вы осуществляете продажу косметологических средств, необходимо также предоставить документы, перечисленные в следующем разделе [https://vk.com/faq20715|Косметологические средства].
vk.com/faq21151;Достигнут лимит объявления. Что это?;Если сумма, израсходованная объявлением, достигает общего лимита, показы прекращаются. Для возобновления показов необходимо увеличить или убрать лимит и снова запустить объявление. Аналогичным образом действуют общие лимиты для кампаний. Проверьте и лимит, установленный для объявления, и лимит, установленный для кампании, они оба не должны быть превышены.Подробнее о лимитах вы можете прочитать [https://vk.com/faq20602|здесь].
vk.com/faq21150;Как пополнить рекламный бюджет за пределами РФ;Перед пополнением бюджета, пожалуйста, ознакомьтесь с Правилами размещения рекламных объявлений (vk.com/ads?act=office_help&terms).За пределами России для пополнения бюджета доступны два вида оплаты: - через электронные платежные системы (VK Pay, QIWI-кошелек, WebMoney, Яндекс.Деньги, PayPal), - с помощью банковской карты.Мы рекомендуем пополнять ваш рекламный бюджет напрямую, по ссылке «пополнить», которая будет вам доступна в Личном кабинете. Просим обратить внимание, что Таргетированные объявления и Маркет-платформа - это два разных раздела, у каждого из них свой бюджет. Таргетинг: vk.com/ads?act=budget Маркет-платформа: vk.com/adsmarket?act=budgetПри перечислении вашей валюты на счет рекламного бюджета, она автоматически будет переведена в рубли по действующему курсу. Курс вы можете уточнить в вашем банке.
vk.com/faq21149;Объявление отклонили, все исправил, не запустить — выдает ту же ошибку.;Для того, чтобы отклоненное объявление попало на модерацию, необходимо внести какие-либо изменения в текст, сохранить и повторно запустить.Для запуска переведите статус с «Отклонено» на «Запущено».
vk.com/faq21148;В чем отличие оплаты за показы от оплаты за переходы?;"Если вы выбираете способ оплаты за показы, то за каждую 1000 показов из вашего бюджета вычитается сумма, которую вы устанавливаете самостоятельно (например, 1 рубль = 1000 показов).Если вы выбираете способ оплаты за переходы, то установленная вами сумма будет вычитаться из бюджета за каждый клик по объявлению, независимо от количества показов. При оплате за переходы засчитываются только уникальные переходы по вашему объявлению. Если пользователь ВКонтакте уже переходил по данному объявлению, переход засчитан не будет. С подробностями вы можете ознакомиться в разделе ""Помощь"": http://vk.cc/2O5dsS"
vk.com/faq21147;Расширьте критерии таргетинга. Что это?;Если вы видите сообщение «Целевая аудитория должна быть не меньше 100 человек. Расширьте критерии таргетинга», то это значит, что вы установили слишком много параметров таргетинга, заполнив все поля в настройках объявления.Для того, чтобы расширить критерии таргетинга, удалите некоторые параметры, например: интересы, учебные заведения и проч. Удаляйте до тех пор, пока счетчик целевой аудитории не покажет необходимое количество человек.[[photo100_458817657|400x215pxnoborder| ]]
vk.com/faq21146;Статус «запущено», бюджет пополнен, но показов нет;Возможно, у вас запущена рекламная кампания, а само объявление в ней остановлено. Для того, чтобы проверить статус объявления, нажмите на название рекламной кампании и вы попадете на страницу с объявлением. Если оно остановлено, запустите его.Вторая причина отсутствия показов — это отклонение объявления модератором. Чтобы узнать причину отклонения, также необходимо перейти на страницу с объявлением.Чтобы внести изменения в объявление, нажмите на кнопку «редактировать».
vk.com/faq21145;Возврат средств;Условием вывода средств из рекламного бюджета является отказ от услуг и, соответственно, закрытие кабинета (т.е. с этого аккаунта больше никогда нельзя будет размещать рекламу).- Для резидентов РФ возврат возможен на банковскую карту или переводом в голоса.- Для нерезидентов возврат средств производится на рублевый кошелек в системе Яндекс.Деньги или в виде голосов. Для оформления возврата обратитесь, пожалуйста, в Поддержку по вопросам платежей:vk.com/support?act=new_pay
vk.com/faq21144;Минимальный бюджет;Минимальный бюджет для начала рекламной кампании - 500 рублей.
vk.com/faq21143;Изменить способ оплаты;"Способ оплаты ""за переходы"" или ""за показы"" выбирается при создании объявления. В дальнейшем изменить его невозможно.Вы можете создать новое объявление и выбрать для него необходимый способ оплаты."
vk.com/faq21142;Ретаргетинг;Ретаргетинг — это инструмент, позволяющий не просто нацеливать рекламные объявления на широкие категории пользователей, а показывать их конкретным людям.Используя данные пользователей (эл. почту, номера телефонов, номера id) или установив код на сайт, вы можете создать группу ретаргетинга и использовать её для рекламы. Подробную информацию о ретаргетинге можно найти здесь: http://vk.cc/2sZdD3
